Producto,Variedad,Volumen (TM),Fecha
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),7,01/08/2025
PAPA,PAPA AMARILLA,301,01/08/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1520,01/08/2025
PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,120,01/08/2025
PAPA,PAPA YUNGAY,67,01/08/2025
PAPA,PAPA UNICA,125,01/08/2025
PAPA,PAPA CANCHAN,9,01/08/2025
PEPINILLO,PEPINILLO,297,01/08/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),25,01/08/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,23,01/08/2025
PORO,PORO (CRIOLLO/SERRANO),33,01/08/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),13,01/08/2025
TOMATE,TOMATE CHERRY,1,01/08/2025
TOMATE,TOMATE KATIA,325,01/08/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,44,01/08/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),187,01/08/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),356,01/08/2025
ZAPALLO,ZAPALLO ITALIANO,11,01/08/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),116,01/08/2025
OTROS PROD.AGRIC.,HIERBA LUISA,2,01/08/2025
OTROS PROD.AGRIC.,MANZANILLA,1,01/08/2025
OTROS PROD.AGRIC.,ALFALFA,23,01/08/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,13,01/08/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,9,01/08/2025
CARAMBOLA,CARAMBOLA,12,01/08/2025
FRESA,FRESA ROJA,4,01/08/2025
GRANADILLA,GRANADILLA (SELVA),7,01/08/2025
PLATANOS,PLATANOS SEDA,20,01/08/2025
PLATANOS,PLATANOS BELLACO,25,01/08/2025
MANGO,MANGO EDWARD PLANTA,1,01/08/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),16,01/08/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,52,01/08/2025
MARACUYA,MARACUYA (COSTA),98,01/08/2025
SANDIA,SANDIA,2,01/08/2025
NARANJA,NARANJA VALENCIA (SELVA),7,01/08/2025
NARANJA,NARANJA TANGELO (SELVA),3,01/08/2025
PIÑA,PIÑA HAWAYANA,1,01/08/2025
PIÑA,PIÑA GOLDEN,5,01/08/2025
PALTA,PALTA FUERTE (COSTA),23,01/08/2025
PAPAYA,PAPAYA SELVA,6,01/08/2025
COCO,COCO(COSTA/SELVA),3,01/08/2025
MANDARINA,MANDARINA,16,01/08/2025
ACELGA,ACELGA,1,02/08/2025
AJI,AJI AMARILLO SECO,14,02/08/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,139,02/08/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),1,02/08/2025
AJI,AJI SECO PANCA,6,02/08/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),113,02/08/2025
AJO,AJO PELADO,22,02/08/2025
AJO,AJO CRIOLLO O NAPURI,126,02/08/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,15,02/08/2025
ALBAHACA,ALBAHACA,22,02/08/2025
APIO,APIO,105,02/08/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),125,02/08/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,43,02/08/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),2,02/08/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),60,02/08/2025
CAIGUA,CAIGUA (SELVA),8,02/08/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,439,02/08/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,29,02/08/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,64,02/08/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,220,02/08/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),19,02/08/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),39,02/08/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),63,02/08/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),30,02/08/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,498,02/08/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,1,02/08/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),166,02/08/2025
HABA,HABA VERDE SERRANA,53,02/08/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),7,02/08/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,7,02/08/2025
HORTALIZAS CHINAS,PACCHOY,5,02/08/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),59,02/08/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,16,02/08/2025
HORTALIZAS CHINAS,BROCOLI,83,02/08/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),27,02/08/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),174,02/08/2025
LECHUGA,LECHUGA CRIOLLA SEDA,17,02/08/2025
LIMON,LIMON CITRICO CAJON,83,02/08/2025
LIMON,LIMON CITRICO BOLSA,657,02/08/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,115,02/08/2025
NABO,NABO (CRIOLLO/SERRANO),18,02/08/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),110,02/08/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),35,02/08/2025
PALLAR,PALLAR VERDE SERRUCHO/CACHITO,2,02/08/2025
PAPA,PAPA AMARILLA,156,02/08/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1514,02/08/2025
PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,108,02/08/2025
PAPA,PAPA YUNGAY,50,02/08/2025
PAPA,PAPA UNICA,99,02/08/2025
PAPA,PAPA CANCHAN,126,02/08/2025
PEPINILLO,PEPINILLO,98,02/08/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),39,02/08/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,110,02/08/2025
PORO,PORO (CRIOLLO/SERRANO),36,02/08/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),13,02/08/2025
TOMATE,TOMATE CHERRY,28,02/08/2025
TOMATE,TOMATE KATIA,348,02/08/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,109,02/08/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),232,02/08/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),337,02/08/2025
ZAPALLO,ZAPALLO ITALIANO,28,02/08/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),123,02/08/2025
OTROS PROD.AGRIC.,HIERBA LUISA,4,02/08/2025
OTROS PROD.AGRIC.,ALFALFA,31,02/08/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,14,02/08/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,1,02/08/2025
OTROS PROD.AGRIC.,ACEITUNA,1,02/08/2025
DURAZNO,DURAZNO,1,02/08/2025
FRESA,FRESA ROJA,4,02/08/2025
GRANADILLA,GRANADILLA (SELVA),1,02/08/2025
PLATANOS,PLATANOS SEDA,14,02/08/2025
PLATANOS,PLATANOS ISLA,2,02/08/2025
PLATANOS,PLATANOS BELLACO,41,02/08/2025
UVA,UVA ITALIA,1,02/08/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),17,02/08/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,24,02/08/2025
MANZANA,MANZANA ISRAEL,2,02/08/2025
MARACUYA,MARACUYA (COSTA),169,02/08/2025
SANDIA,SANDIA,16,02/08/2025
NARANJA,NARANJA VALENCIA (SELVA),14,02/08/2025
NARANJA,NARANJA TANGELO (SELVA),1,02/08/2025
PIÑA,PIÑA HAWAYANA,3,02/08/2025
PIÑA,PIÑA GOLDEN,14,02/08/2025
PALTA,PALTA FUERTE (COSTA),18,02/08/2025
PAPAYA,PAPAYA SELVA,15,02/08/2025
MELOCOTON,MELOCOTON,2,02/08/2025
MANDARINA,MANDARINA,50,02/08/2025
AJI,AJI AMARILLO SECO,22,03/08/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,2,03/08/2025
AJI,AJI SECO PANCA,5,03/08/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),49,03/08/2025
AJO,AJO PELADO,43,03/08/2025
AJO,AJO CRIOLLO O NAPURI,77,03/08/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,56,03/08/2025
ALBAHACA,ALBAHACA,26,03/08/2025
APIO,APIO,85,03/08/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),86,03/08/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,26,03/08/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),4,03/08/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),13,03/08/2025
CAIGUA,CAIGUA (SELVA),3,03/08/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,422,03/08/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,38,03/08/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,958,03/08/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),18,03/08/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),23,03/08/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),19,03/08/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),34,03/08/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,438,03/08/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,1,03/08/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),86,03/08/2025
HABA,HABA VERDE SERRANA,4,03/08/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,2,03/08/2025
HORTALIZAS CHINAS,PACCHOY,1,03/08/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),58,03/08/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,14,03/08/2025
HORTALIZAS CHINAS,BROCOLI,74,03/08/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),12,03/08/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),103,03/08/2025
LECHUGA,LECHUGA CRIOLLA SEDA,36,03/08/2025
LIMON,LIMON CITRICO CAJON,31,03/08/2025
LIMON,LIMON CITRICO BOLSA,247,03/08/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,48,03/08/2025
NABO,NABO (CRIOLLO/SERRANO),10,03/08/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),40,03/08/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),10,03/08/2025
PAPA,PAPA AMARILLA,126,03/08/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1380,03/08/2025
PAPA,PAPA YUNGAY,219,03/08/2025
PAPA,PAPA UNICA,18,03/08/2025
PAPA,PAPA CANCHAN,49,03/08/2025
PEPINILLO,PEPINILLO,114,03/08/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),26,03/08/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,6,03/08/2025
PORO,PORO (CRIOLLO/SERRANO),18,03/08/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),10,03/08/2025
TOMATE,TOMATE KATIA,280,03/08/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,22,03/08/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),215,03/08/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),374,03/08/2025
ZAPALLO,ZAPALLO ITALIANO,15,03/08/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),101,03/08/2025
OTROS PROD.AGRIC.,HIERBA LUISA,2,03/08/2025
OTROS PROD.AGRIC.,MANZANILLA,0,03/08/2025
OTROS PROD.AGRIC.,ALFALFA,18,03/08/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,13,03/08/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,0,03/08/2025
FRESA,FRESA ROJA,2,03/08/2025
PLATANOS,PLATANOS SEDA,15,03/08/2025
PLATANOS,PLATANOS ISLA,7,03/08/2025
PLATANOS,PLATANOS BELLACO,18,03/08/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),13,03/08/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,26,03/08/2025
MARACUYA,MARACUYA (COSTA),97,03/08/2025
SANDIA,SANDIA,0,03/08/2025
NARANJA,NARANJA VALENCIA (SELVA),14,03/08/2025
PIÑA,PIÑA GOLDEN,10,03/08/2025
PALTA,PALTA FUERTE (COSTA),24,03/08/2025
PAPAYA,PAPAYA SELVA,10,03/08/2025
MEMBRILLO,MEMBRILLO,1,03/08/2025
MANDARINA,MANDARINA,11,03/08/2025
AJI,AJI AMARILLO SECO,30,04/08/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,77,04/08/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),4,04/08/2025
AJI,AJI SECO PANCA,25,04/08/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),224,04/08/2025
AJO,AJO PELADO,15,04/08/2025
AJO,AJO CRIOLLO O NAPURI,107,04/08/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,20,04/08/2025
ALBAHACA,ALBAHACA,8,04/08/2025
APIO,APIO,52,04/08/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),83,04/08/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,45,04/08/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),1,04/08/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),69,04/08/2025
CAIGUA,CAIGUA (SELVA),7,04/08/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,167,04/08/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,8,04/08/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,62,04/08/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,1629,04/08/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),10,04/08/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),16,04/08/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),34,04/08/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,260,04/08/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,1,04/08/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),90,04/08/2025
HABA,HABA VERDE SERRANA,14,04/08/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,7,04/08/2025
HORTALIZAS CHINAS,PACCHOY,1,04/08/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),115,04/08/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,14,04/08/2025
HORTALIZAS CHINAS,BROCOLI,34,04/08/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),5,04/08/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),99,04/08/2025
LECHUGA,LECHUGA CRIOLLA SEDA,12,04/08/2025
LIMON,LIMON CITRICO BOLSA,953,04/08/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,90,04/08/2025
NABO,NABO (CRIOLLO/SERRANO),5,04/08/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),95,04/08/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),25,04/08/2025
PALLAR,PALLAR VERDE SERRUCHO/CACHITO,1,04/08/2025
PAPA,PAPA AMARILLA,41,04/08/2025
PAPA,PAPA BLANCA/VALLE/OTROS,567,04/08/2025
PAPA,PAPA PERUANITA (INJERTO),22,04/08/2025
PAPA,PAPA YUNGAY,236,04/08/2025
PAPA,PAPA UNICA,101,04/08/2025
PEPINILLO,PEPINILLO,179,04/08/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),18,04/08/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,60,04/08/2025
PORO,PORO (CRIOLLO/SERRANO),13,04/08/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),11,04/08/2025
TOMATE,TOMATE ORGANICO,13,04/08/2025
TOMATE,TOMATE KATIA,189,04/08/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,30,04/08/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),145,04/08/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),143,04/08/2025
ZAPALLO,ZAPALLO ITALIANO,6,04/08/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),82,04/08/2025
OTROS PROD.AGRIC.,ALFALFA,21,04/08/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,0,04/08/2025
FRESA,FRESA ROJA,1,04/08/2025
GRANADILLA,GRANADILLA (SELVA),1,04/08/2025
PLATANOS,PLATANOS SEDA,10,04/08/2025
PLATANOS,PLATANOS ISLA,12,04/08/2025
PLATANOS,PLATANOS BISCOCHITO,1,04/08/2025
PLATANOS,PLATANOS BELLACO,55,04/08/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,1,04/08/2025
MARACUYA,MARACUYA (COSTA),12,04/08/2025
NARANJA,NARANJA VALENCIA (SELVA),2,04/08/2025
NARANJA,NARANJA HUANDO,2,04/08/2025
PIÑA,PIÑA GOLDEN,11,04/08/2025
PALTA,PALTA HALL (COSTA),8,04/08/2025
PALTA,PALTA FUERTE (COSTA),21,04/08/2025
PAPAYA,PAPAYA SELVA,5,04/08/2025
COCO,COCO(COSTA/SELVA),3,04/08/2025
AJI,AJI AMARILLO SECO,62,05/08/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,167,05/08/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),1,05/08/2025
AJI,AJI SECO PANCA,29,05/08/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),99,05/08/2025
AJO,AJO PELADO,23,05/08/2025
AJO,AJO CRIOLLO O NAPURI,118,05/08/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,5,05/08/2025
ALBAHACA,ALBAHACA,28,05/08/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,2,05/08/2025
APIO,APIO,147,05/08/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),101,05/08/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,21,05/08/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),4,05/08/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),75,05/08/2025
CAIGUA,CAIGUA (SELVA),12,05/08/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,438,05/08/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,39,05/08/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,179,05/08/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),27,05/08/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),46,05/08/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),60,05/08/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),33,05/08/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,369,05/08/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,1,05/08/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),133,05/08/2025
HABA,HABA VERDE SERRANA,9,05/08/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),1,05/08/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,15,05/08/2025
HORTALIZAS CHINAS,PACCHOY,3,05/08/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),28,05/08/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,20,05/08/2025
HORTALIZAS CHINAS,BROCOLI,31,05/08/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),29,05/08/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),169,05/08/2025
LECHUGA,LECHUGA CRIOLLA SEDA,4,05/08/2025
LIMON,LIMON CITRICO BOLSA,103,05/08/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,167,05/08/2025
NABO,NABO (CRIOLLO/SERRANO),15,05/08/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),117,05/08/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),24,05/08/2025
PAPA,PAPA AMARILLA,83,05/08/2025
PAPA,PAPA BLANCA/VALLE/OTROS,2609,05/08/2025
PAPA,PAPA COLOR/VALLE/OTROS,21,05/08/2025
PAPA,PAPA UNICA,21,05/08/2025
PAPA,PAPA CANCHAN,399,05/08/2025
PEPINILLO,PEPINILLO,169,05/08/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),35,05/08/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,125,05/08/2025
PORO,PORO (CRIOLLO/SERRANO),28,05/08/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),13,05/08/2025
TOMATE,TOMATE ORGANICO,14,05/08/2025
TOMATE,TOMATE KATIA,289,05/08/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,51,05/08/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),191,05/08/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),316,05/08/2025
ZAPALLO,ZAPALLO ITALIANO,23,05/08/2025
ZAPALLO,ZAPALLO LOCHE,1,05/08/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),123,05/08/2025
OTROS PROD.AGRIC.,HIERBA LUISA,3,05/08/2025
OTROS PROD.AGRIC.,MANZANILLA,1,05/08/2025
OTROS PROD.AGRIC.,ALFALFA,45,05/08/2025
OTROS PROD.AGRIC.,AGUAYMANTO,1,05/08/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,10,05/08/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,2,05/08/2025
OTROS PROD.AGRIC.,ACEITUNA,0,05/08/2025
FRESA,FRESA ROJA,3,05/08/2025
GRANADILLA,GRANADILLA (SELVA),3,05/08/2025
PLATANOS,PLATANOS SEDA,52,05/08/2025
PLATANOS,PLATANOS ISLA,22,05/08/2025
PLATANOS,PLATANOS BISCOCHITO,1,05/08/2025
PLATANOS,PLATANOS BELLACO,29,05/08/2025
UVA,UVA BORGOÑA NEGRA,2,05/08/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),3,05/08/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,47,05/08/2025
MARACUYA,MARACUYA (COSTA),139,05/08/2025
NARANJA,NARANJA VALENCIA (SELVA),22,05/08/2025
PIÑA,PIÑA HAWAYANA,3,05/08/2025
PIÑA,PIÑA GOLDEN,7,05/08/2025
PALTA,PALTA FUERTE (COSTA),21,05/08/2025
PAPAYA,PAPAYA SELVA,13,05/08/2025
MEMBRILLO,MEMBRILLO,2,05/08/2025
CHIRIMOYA,CHIRIMOYA CUMBE,1,05/08/2025
MANDARINA,MANDARINA,53,05/08/2025
AJI,AJI AMARILLO SECO,24,06/08/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,51,06/08/2025
AJI,AJI SECO PANCA,3,06/08/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),115,06/08/2025
AJO,AJO PELADO,25,06/08/2025
AJO,AJO CRIOLLO O NAPURI,90,06/08/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,70,06/08/2025
ALBAHACA,ALBAHACA,22,06/08/2025
APIO,APIO,94,06/08/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),83,06/08/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,47,06/08/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),2,06/08/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),74,06/08/2025
CAIGUA,CAIGUA (SELVA),3,06/08/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,270,06/08/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,33,06/08/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,215,06/08/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),18,06/08/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),16,06/08/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),4,06/08/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),23,06/08/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,243,06/08/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,0,06/08/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),59,06/08/2025
HABA,HABA VERDE SERRANA,51,06/08/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),0,06/08/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,7,06/08/2025
HORTALIZAS CHINAS,PACCHOY,4,06/08/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),69,06/08/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,10,06/08/2025
HORTALIZAS CHINAS,BROCOLI,71,06/08/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),17,06/08/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),108,06/08/2025
LIMON,LIMON CITRICO CAJON,7,06/08/2025
LIMON,LIMON CITRICO BOLSA,3,06/08/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,47,06/08/2025
NABO,NABO (CRIOLLO/SERRANO),10,06/08/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),106,06/08/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),2,06/08/2025
PAPA,PAPA AMARILLA,54,06/08/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1734,06/08/2025
PAPA,PAPA COLOR/VALLE/OTROS,17,06/08/2025
PAPA,PAPA CANCHAN,31,06/08/2025
PEPINILLO,PEPINILLO,147,06/08/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),26,06/08/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,9,06/08/2025
PORO,PORO (CRIOLLO/SERRANO),40,06/08/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),10,06/08/2025
TOMATE,TOMATE ORGANICO,14,06/08/2025
TOMATE,TOMATE KATIA,298,06/08/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,46,06/08/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),166,06/08/2025
